,location_name,address
0,Community College of the Air Force,"130 W Maxwell Blvd, Montgomery, AL 36112-6613"
1,Community College of the Air Force,"2250 Stanley Road, Unit 161, Fort Sam Houston, TX 78234-6400"
2,Alabama A & M University,"4900 Meridian Street, Normal, AL 35762"
3,University of Alabama at Birmingham,"1720 2nd Avenue South, Birmingham, AL 35233"
4,UAB School of Optometry,"1716 University Boulevard, Birmingham, AL 35294"
5,UAB School of Dentistry,"Old Hillman Bldg 1919 7th Avenue South, Birmingham, AL 35233"
6,Amridge University,"1200 Taylor Rd, Montgomery, AL 36117-3553"
7,University of Alabama at Huntsville,"301 Sparkman Dr, Huntsville, AL 35899"
8,Alabama State University,"915 S Jackson Street, Montgomery, AL 36104"
9,The University of Alabama,"801 University Boulevard, Tuscaloosa, AL 35487-0100"
10,Central Alabama Community College,"1675 Cherokee Road, Alexander City, AL 35010"
11,Childersburg Campus,"34091 US Hwy. 280, Childersburg, AL 35044"
12,Alexander City Campus,"1675 Cherokee Road PO Box 699, Alexander City, AL 35010"
13,Athens State University,"300 N Beaty St, Athens, AL 35611"
14,Northeast Alabama CC,"138 Lowell Barron Highway W, Rainsville, AL 35986"
15,Northwest - Shoals Alabama CC,"800 George Wallace Road, Muscle Shoals, AL 35662"
16,Redstone Arsenal,"Bldg. 3200, Little John Road Athens State Universi, Redstone Arsenal, AL 35898"
17,Snead State CC,"220 North Walnut Street, Boaz, AL 35957"
18,Wallace State Comm Coll - Hanceville,"801 Main Street, Hanceville, AL 35077"
19,Auburn University-Montgomery,"7440 East Drive, Montgomery, AL 36117"
20,Auburn University Main Campus,"107 Samford Hall, Auburn University, AL 36849"
21,Mobile Campus (Pharmacy),"USA Rsch Park 650 Clinic Drive, Rm 2100, Mobile, AL 36688-0002"
22,Birmingham Southern College,"900 Arkadelphia Road, Birmingham, AL 35254"
23,Chattahoochee Valley Community College,"2602 College Dr, Phenix City, AL 36869"
24,Concordia College Alabama,"1804 Green Street, Selma, AL 36701"
25,DCH Regional Medical Center,"809 University Blvd., East, Tuscaloosa, AL 35401"
26,Enterprise State Community College,"600 Plaza Drive, Enterprise, AL 36330-1300"
27,AAC at Mobile,"1975 Ave C, Mobile, AL 36615-1403"
28,AAC at Ozark,"3405 Hwy 231 S, Ozark, AL 36360"
29,James H. Faulkner State Community College,"1900 US Hwy 31 S, Bay Minette, AL 36507-2698"
30,Faulkner State Fairhope Campus,"440 Fairhope Ave, Fairhope, AL 36532"
31,Faulkner State Gulf Shores Campus,"3301 Gulf Shores Pkwy, Gulf Shores, AL 36542"
32,Faulkner State at Daphne High School,"9300 Lawson Rd, Daphne, AL 36526"
33,Faulkner University,"5345 Atlanta Hwy, Montgomery, AL 36109-3378"
34,FAULKNER UNIVERSITY-HUNTSVILLE,"420 WYNN DR, HUNTSVILLE, AL 35805-1963"
35,Birmingham,"2200 Riverchase Center, Birmingham, AL 35244"
36,Mobile,"917 Western American Circle, Mobile, AL 36609"
37,Gadsden Business College,"3225 Rainbow Drive Suite 246, Rainbow City, AL 35906"
38,Gadsden Business College - Anniston Campus,"1805 Hillyer Robinson Industrial Parkway, Suite B, Anniston, AL 36207"
39,Gadsden State Community College,"1001 George Wallace Dr., Gadsden, AL 35902-0227"
40,Gadsden State Community College - Ayers Campus,"1801 Coleman Road, Anniston, AL 36207"
41,George C Wallace Community College,"1141 Wallace Drive, Dothan, AL 36303-9234"
42,Ft. Rucker Center,"Building 4502 Kingsman Street, Fort Rucker, AL 36362"
43,Sparks Campus,"3235 South Eufaula Ave., Eufaula, AL 36027"
44,Clanton Ext,"2829 Fourth Avenue North, Clanton, AL 35045"
45,Wallace State Community College  - Hanceville,"801 Main St. P. O. Box 2000, Hanceville, AL 35077-2000"
46,George Corley Wallace State Community College - Selma,"3000 Earl Goodwin Parkway, Selma, AL 36703-2808"
47,Huntingdon College,"1500 East Fairview Avenue, Montgomery, AL 36106-2148"
48,Huntsville Hospital,"101 Sivley Road, Huntsville, AL 35801"
49,Heritage Christian University,"3625 Helton Dr, PO Box HCU, Florence, AL 35630-9977"
50,J.F. Drake State Community and Technical College,"3421 Meridian St North, Huntsville, AL 35811"
51,J F Ingram State Technical College,"5375 Ingram Road, Deatsville, AL 36022"
52,"J. F. Ingram State Technical College, Donaldson Correctional Facility","100 Warrior Lane, 100 Warrior Lane, AL 35023"
53,"J. F. Ingram State Technical College, Draper Instructional Service Center","2800 Alabama Highway 143, Elmore, AL 36025"
54,"J. F. Ingram State Technical College, Tutwiler Instructional Service Center","8970 U.S. Highway 231 North, Wetumpka, AL 36092"
55,"J. F. Ingram State Technical College, Bibb Correctional Facility","565 Bibb Lane, Brent, AL 35034"
56,Jacksonville State University,"700 Pelham Road North, Jacksonville, AL 36265"
57,Jefferson Davis Community College,"220 Alco Dr, Brewton, AL 36426"
58,Atmore,"6574 Highway 21 PO Box 1119, Atmore, AL 36504"
59,Jefferson State Community College,"2601 Carson Rd, Birmingham, AL 35215-3098"
60,Richard M. Scrushy Campus,"4600 Valleydale Rd, Birmingham, AL 35242"
61,Calhoun Community College,"6250 U S Highway 31 N, Tanner, AL 35671"
62,Decatur Fire and Rescue Center,"4119 Old Hwy 31, SW, Decatur, AL 35603"
63,Judson College,"302 Bibb St, Marion, AL 36756"
64,University of West Alabama,"205 North Washington Street, Livingston, AL 35470"
65,Lurleen B Wallace Community College,"1000 Dannelly Blvd., Andalusia, AL 36420-1418"
66,Lurleen B Wallace Community College - Greenville Campus,"750 Greenville Bypass, Greenville, AL 36037"
67,Lurleen B Wallace Community College - Springdale,"521 E. Three Notch Street, Andalusia, AL 36420"
68,MacArthur Campus,"1708 Main, Opp, AL 36467"
69,Marion Military Institute,"1101 Washington St, Marion, AL 36756"
70,Miles College,"5500 Myron Massey Blvd, Fairfield, AL 35064"
71,University of Mobile,"5735 College Parkway Drive, Mobile, AL 36663-0220"
72,University of Montevallo,"75 College Drive, Montevallo, AL 35115"
73,Northwest-Shoals Community College - Muscle Shoals,"800 George Wallace Blvd, Muscle Shoals, AL 35661"
74,Phil Campbell Campus,"2080 College Road, Phil Campbell, AL 35581"
75,Shoals Campus,"800 George Wallace Blvd., Muscle Shoals, AL 35661"
76,University of North Alabama,"One Harrison Plaza, Florence, AL 35632-0001"
77,Northeast Alabama Community College,"138 Alabama Highway 35, Rainsville, AL 35986"
78,Northwest-Shoals Community College - Phil Campbell,"2080 College Road, Phil Campbell, AL 35881"
79,Oakwood University,"7000 Adventist Blvd N.W., Huntsville, AL 35896"
80,Alabama Southern Community College,"2800 South Alabama Avenue, Monroeville, AL 36460"
81,Jackson Campus,"235 College Avenue, Jackson, AL 36545"
82,Thomasville Campus,"30755 Hwy. 43 South, Thomasville, AL 36784"
83,Gilbertown Campus,"251 College Street, Gilbertown, AL 36908"
84,Demopolis Campus,"186 Field of Dreams Drive, Demopolis, AL 36732"
85,Prince Institute - Southeast,"596 W. Lamont Road, Elmhurst, IL 60126"
86,Prince Institute - Great Lakes,"596 W. Lamont Road, Suite 110, Elmhurst, IL 60126"
87,Prince Institute - Rocky Mountains,"9051 Harlan Street, Unit 20, Westminster, CO 80031-2901"
88,Reid State Technical College,"I-65 and Highway 83, Evergreen, AL 36401"
89,Reid State Technical College Extension Campus,"300 Jaguar Drive, Evergreen, AL 36401"
90,Reid State Technical College at Jeff Davis Community College,"201 Brookwood Road, Atmore, AL 35604"
91,"Reid State Technical College, South Baldwin Transportation Site","202 Sanborn Avenue, Summerdale, AL 36580"
92,"Reid State Technical College, Practical Nursing/Lurleen B. Wallace Community College","750 Greenville By-Pass, Greenville, AL 36037"
93,Bishop State Community College,"351 North Broad Street, Mobile, AL 36603-5362"
94,Samford University,"800 Lakeshore Drive, Birmingham, AL 35229-2240"
95,Shelton State Community College,"9500 Old Greensboro Rd, Tuscaloosa, AL 35405-8522"
96,Shelton State Community College - C.A. Fredd Campus,"3401 Martin Luther King Blvd., Tuscaloosa, AL 35401"
97,Snead State Community College,"220 North Walnut Street, Boaz, AL 35957-0734"
98,University of South Alabama,"307 N University Blvd, Mobile, AL 36688-0002"
